Wilayah,2017,2018,2019
GAYO LUES,1725,1673,1529
ACEH TAMIANG,1779,1708,3065
NAGAN RAYA,1724,1643,2075
ACEH JAYA,1331,1294,1645
BENER MERIAH,1362,1289,2049
PIDIE JAYA,1145,1082,2272
BANDA ACEH,11682,11234,15613
SABANG,1147,1102,1286
LANGSA,1317,1270,2435
LHOKSEUMAWE,1133,1100,2222
SUBULUSSALAM,949,904,1064
Kab Pandeglang,35,35,35
Kab Lebak,28,28,28
Kab Tangerang,29,29,29
Kab Serang,29,29,29
Kota Tangerang,13,13,13
Kota Cilegon,8,8,8
Kota Serang,6,6,6
Kota Tangerang Selatan,7,7,7
Merauke,6738,2383,2329
Jayawijaya,2458,2252,2238
Jayapura,2348,1795,1970
Nabire,1868,2432,2377
Kepulauan Yapen,2530,2084,2036
Biak Numfor,2189,2198,2193
Paniai,2320,1601,1577
Puncak Jaya,1680,1673,1665
Mimika,1525,1917,1995
Boven Digoel,1969,1193,1308
Mappi,1219,1698,1685
Asmat,1737,1481,1466
Yahukimo,1585,1880,1871
Pegunungan Bintang,1890,1701,1690
Tolikara,1699,1797,1812
Sarmi,1752,1079,1247
Keerom,1112,1508,1474
Waropen,1535,1256,1217
Supiori,1297,1326,1304
Mamberamo Raya,1320,1017,1003
Nduga,1023,693,690
Lanny Jaya,696,1677,1668
Mamberamo Tengah,1684,1190,1300
Yalimo,1190,991,992
Puncak,999,1429,1427
Dogiyai,1426,1256,1258
Intan Jaya,1261,922,910
Deiyai,920,890,1014
Kota Jayapura,888,1685,1725
Pacitan,6042,2755,2719
Ponorogo,2800,1282,1282
Trenggalek,1323,2050,2384
Tulungagung,2077,1991,1968
Blitar,2031,1564,1539
Kediri,1622,2018,2081
Malang,2062,691,688
Lumajang,706,614,612
Jember,537,2477,2629
Banyuwangi,2496,798,941
Bondowoso,808,1057,1055
Situbondo,1066,797,794
Probolinggo,824,530,529
Pasuruan,536,633,628
Sidoarjo,641,607,615
Mojokerto,573,747,910
Jombang,752,1286,1277
Nganjuk,1310,753,742
Madiun,752,966,958
Magetan,980,433,435
Ngawi,441,312,309
Bojonegoro,314,567,564
Tuban,570,487,586
Lamongan,489,515,512
Gresik,514,490,490
Bangkalan,490,583,585
Sampang,581,353,355
Pamekasan,353,434,559
Sumenep,424,2498,2592
